"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","FAQ раздел","8","0","Проверка ответов на вопросы в FAQ","0"
"0","","0","Валидация","1","0","Проверка кликабельности кнопок заказа","0"
"0","","0","Навигация","1","0","Возврат к первой форме после заполнения","0"
"0","","0","Навигация","1","0","Открытие Дзена в новой вкладке при клике на логотип Яндекса","0"
"0","","0","Создание заказа","2","0","Параметризованное тестирование с разными пользователями","0"
"0","","0","Создание заказа","1","0","Успешное создание заказа через кнопку в хедере","0"
"0","","0","Навигация","1","0","Переход на страницу заказа через кнопку в хедере","0"
"0","","0","Навигация","1","0","Редирект на главную страницу при клике на логотип Самоката","0"
"0","","0","Создание заказа","1","0","Успешное создание заказа через кнопку в основном разделе","0"
"0","","0","Создание заказа","1","0","Создание заказа с разными способами выбора даты","0"
"0","","0","Навигация","1","0","Переход на страницу заказа через кнопку в основном разделе","0"
"0","","0","Валидация","1","0","Проверка отображения основных элементов страницы","0"
